sample_id	aminoglycoside	beta-lactam	fluoroquinolone	fosfomycin	macrolide/MLSB	other	peptide	phenicol	sulfonamide	tetracycline	triclosan	trimethoprim	PA_pct	AZM
CO1	3	27	15	2	11	1	5	3	0	6	4	0	13.804	AZMpos
CO10	7	31	12	2	11	3	3	3	2	9	3	0	23.1167	AZMpos
CO11	3	7	1	0	9	0	0	0	0	1	0	0	0.0	AZMneg
CO12	3	2	2	0	0	0	0	0	0	3	0	0	0.0448	AZMneg
CO13	0	4	1	0	0	1	0	0	0	3	0	0	0.0	AZMneg
CO14	2	4	0	0	2	0	0	0	0	1	0	0	0.0	AZMneg
CO15	0	6	4	2	7	0	0	0	0	12	0	0	0.0	AZMneg
CO16	5	3	3	0	1	3	0	3	2	1	0	1	0.0	AZMneg
CO17	1	0	0	0	4	0	0	0	0	4	0	0	0.1693	AZMneg
CO18	0	1	0	0	2	0	0	0	0	1	0	0	0.0	AZMneg
CO19	7	3	3	0	8	2	0	0	2	3	0	0	0.0	AZMneg
CO2	3	26	11	2	7	1	5	3	0	0	4	0	95.9191	AZMpos
CO20	0	4	1	0	0	0	0	0	0	1	0	0	0.0	AZMneg
CO21	10	13	6	3	7	3	1	2	2	11	0	1	0.047	AZMpos
CO22	0	2	2	0	3	1	0	0	0	8	0	0	0.0	AZMpos
CO23	3	2	1	0	1	0	0	0	0	2	0	0	0.0	AZMpos
CO24	2	7	2	0	6	2	0	2	1	13	0	0	0.0	AZMpos
CO25	0	4	1	0	2	0	0	0	0	1	0	0	0.0	AZMpos
CO26	0	1	0	0	4	0	0	0	0	0	0	0	0.0	AZMpos
CO27	1	2	1	0	0	1	0	0	0	0	0	0	0.0	AZMpos
CO28	0	2	1	0	0	0	1	0	0	0	0	0	0.0	AZMpos
CO29	1	1	0	0	4	0	0	0	0	4	0	0	0.0	AZMpos
CO3	3	27	13	2	12	2	5	4	0	9	4	0	27.4829	AZMpos
CO30	0	0	0	0	0	0	0	0	0	2	0	0	0.0	AZMpos
CO31	4	31	13	2	4	3	4	4	1	1	4	0	1.7204	AZMneg
CO32	3	28	11	2	8	1	5	3	0	2	4	0	76.359	AZMneg
CO33	1	1	2	0	3	0	0	0	0	2	0	0	0.0	AZMneg
CO34	0	0	1	0	1	0	0	0	0	2	0	0	0.0	AZMneg
CO35	4	28	10	2	9	1	5	3	0	4	4	0	59.8523	AZMneg
CO36	4	32	11	2	9	1	4	3	0	6	4	0	38.8336	AZMneg
CO37	1	5	3	0	4	0	1	0	0	2	0	0	7.9505	AZMneg
CO38	1	2	2	0	0	1	1	0	0	0	0	0	0.0	AZMneg
CO39	0	4	1	0	0	0	0	0	0	1	0	0	0.0	AZMneg
CO4	1	4	3	0	5	0	0	0	0	5	0	0	0.0	AZMpos
CO40	4	23	11	2	9	2	5	3	1	3	4	0	76.46	AZMneg
CO5	3	27	13	2	9	1	4	3	0	5	4	0	2.4329	AZMpos
CO6	5	23	11	2	4	1	5	3	0	0	2	0	41.747	AZMpos
CO7	3	7	2	0	7	0	0	0	0	0	0	0	0.1432	AZMpos
CO8	2	12	7	1	6	2	3	1	0	7	3	0	0.5916	AZMpos
CO9	3	27	11	2	8	1	5	3	0	4	4	0	77.8997	AZMpos
